,Parcial1,Parcial2,Parcial3
Alumno0,71.79780725037904,69.02873986032508,74.26498075947191
Alumno1,93.4133237335393,95.46659768982289,94.14428805139106
Alumno2,68.61577771743367,70.13720753625373,74.10562893850992
Alumno3,81.99727865440944,81.06951308365913,82.56179485146879
Alumno4,70.68744221646604,77.03459542027677,76.31701579472366
Alumno5,88.38430726855267,83.33389697874321,97.85982577189537
Alumno6,93.26611869968802,86.51403585714021,99.21025049754357
Alumno7,43.75218655005713,50.27339263260787,50.57875660274671
Alumno8,48.04745023457046,52.912046794757245,59.33133369723333
Alumno9,69.26786462065685,74.85398158319437,61.85675369294499
Alumno10,98.10506555579795,96.19263415513349,83.19070026441727
Alumno11,84.01304060925123,97.96523644460459,99.47965667945863
Alumno12,85.69707493313673,83.37239416484068,99.28008914389787
Alumno13,82.35261999625338,90.6407338498041,84.34766494298833
Alumno14,92.2988452915761,83.7936304365723,99.69811623136934
Alumno15,60.84519271684356,68.93398840995764,70.44191695101799
Alumno16,81.13707221500677,87.03250336840097,96.58165506214593
Alumno17,71.52175005643373,78.66944741621708,68.25787643312394
Alumno18,42.689338781248864,52.30797331445501,53.7952345427756
Alumno19,88.8106460253133,86.17915008183981,89.06417444196902
Alumno20,72.3079253342998,64.12006831542226,78.20226117294686
Alumno21,40.027149027343896,40.18943241280043,50.51052774190234
Alumno22,74.88797997710411,64.30127428171164,63.15943743026118
Alumno23,43.94938968046223,51.84831627894296,52.78213767982356
Alumno24,49.390227325151486,56.59346129673561,45.78495030942083
Alumno25,59.68119779700683,55.61050913173105,57.342165272022484
Alumno26,44.117549291445165,55.51105961991073,46.4892821323368
Alumno27,77.89157414883442,67.09591630591626,61.33235673715847
Alumno28,49.921714497911246,58.73603949935277,52.43784758907425
Alumno29,47.50390822312384,40.32091458771988,45.34504371864863
Alumno30,64.83206069558919,62.48648874078936,72.60577565585764
Alumno31,95.44555386710344,97.54219492897339,92.97657176193093
Alumno32,88.14588030233793,99.58503019304695,98.14495585972492
Alumno33,46.34718628890153,50.109931314494,55.59868644307356
Alumno34,64.77455803880491,62.70448480307341,68.4122726951693
Alumno35,51.82107593593334,40.41660921836186,54.25531382340676
Alumno36,50.77470209749138,59.99598175262236,51.16240784919803
Alumno37,88.45636813896316,83.85973033004137,97.20437498714588
Alumno38,75.57179984784145,60.64979548536608,71.1141328517285
Alumno39,46.090480204552165,40.985785072892824,45.51001648575365
Alumno40,87.04537074236133,86.74589995766398,92.19121879097972
Alumno41,43.36880091566652,48.44034568622132,59.031022747003504
Alumno42,42.63773888746625,42.45331772149889,47.0132817547306
Alumno43,45.97585559140221,52.360015088104454,49.578091725930065
Alumno44,61.0357110707752,71.89215323014051,79.93621380820267
Alumno45,43.145795351505605,58.73356752256523,41.24364823141037
Alumno46,84.88235555186245,85.56180124724642,95.05794845893007
Alumno47,66.8143999737699,79.8831534532713,71.96187823386843
Alumno48,51.12530281218915,48.04864847830219,41.92103082474344
Alumno49,74.55933677469704,62.23068930883713,67.14019336688229
Alumno50,61.941542786986915,69.89035383724152,72.76362254007654
Alumno51,82.22894515194385,96.23437183876122,96.82534278717358
Alumno52,92.90400801913319,96.60742344091874,89.44628997047766
Alumno53,68.8025122042006,72.34068308663132,69.27012960168415
Alumno54,97.41133333693563,80.37465477089651,95.48071902419017
Alumno55,98.62264906208213,97.52473627944057,93.59984481889191
Alumno56,76.02538977732351,65.43754139290724,69.22222770608299
Alumno57,52.09213460044038,45.415564510363296,49.239543122800896
Alumno58,80.91895827815591,94.12440094090483,81.81594474448553
Alumno59,54.4059603359782,59.342466413773266,41.27910107742512
Alumno60,99.79185586536624,96.04000369514918,97.53017326892129
Alumno61,97.75105419982424,94.08350934919216,89.65263287314903
Alumno62,40.461592579672306,47.01142933138563,55.527902159522455
Alumno63,61.84258731886833,65.97359776629418,67.07061122657579
Alumno64,69.10547577610417,63.1224593667286,72.67978989076221
Alumno65,85.16519754677437,95.26707176238035,93.41639868866702
Alumno66,40.08265619021007,56.34872917516013,56.4282805377984
Alumno67,78.90984775394743,76.40250163206058,75.40094510942637
Alumno68,71.26554302962606,60.14388779427051,68.844006937845
Alumno69,53.45276321921551,51.41602030931591,43.53120850524958
Alumno70,62.64530657303138,74.5416684945688,76.70180352093473
Alumno71,93.17397795530766,83.46032453214706,81.55305553477817
Alumno72,70.02754391782436,63.260296996225904,69.65827942124938
Alumno73,62.45402951802881,67.55050983985215,77.12021406969396
Alumno74,61.243704828758965,75.48887246510486,64.65893264373662
Alumno75,70.75247824426737,78.339460310958,78.40227165470864
Alumno76,40.160232485175776,40.25002828774382,54.941412513774495
Alumno77,99.19207425864872,86.398295808129,84.15676714673793
Alumno78,70.26870531805268,63.538838936138525,69.95105279342893
Alumno79,54.29434375273658,52.515248365865176,49.17093461152959
Alumno80,41.426930795181335,54.64332630913747,45.22576953179279
Alumno81,43.3613007190895,43.39652977710319,50.32550821609237
Alumno82,80.57297385931221,85.33558012234523,87.64281253927639
Alumno83,80.14525325730425,92.54432120453848,86.72739125775794
Alumno84,83.108950533292,99.85677520187087,96.05727672286358
Alumno85,70.17644146987742,69.85032773315322,66.3581970753417
Alumno86,63.95885827498977,78.00939111448449,64.52930701546063
Alumno87,60.265219234639915,71.6098906518601,73.66474646723248
Alumno88,62.79204174040318,73.01283558020042,63.36817682061258
Alumno89,88.09151912076241,80.21359878318822,93.16336898913714
Alumno90,80.15046780728336,81.18779547117737,80.86337195900629
Alumno91,48.31239408279444,40.84720165017307,57.303480453663354
Alumno92,99.4404349632965,96.4391136246568,98.23666830625321
Alumno93,89.47737525260251,83.92416083801136,92.54935038406902
Alumno94,43.17367540556362,57.42539160293235,46.53814007840984
Alumno95,87.06831247686688,81.22512426563851,98.05290304104
Alumno96,81.29740277931577,92.82550950317707,87.18633492668725
Alumno97,98.9778106299193,89.0034628863803,90.33681187417208
Alumno98,84.04519101276772,82.46722299079399,89.11237002418558
Alumno99,75.15146987816401,60.69379066592134,77.01205857525133
Alumno100,56.092544983004274,57.590619568054706,48.66308357167844
Alumno101,44.366728473605875,47.84937835417215,47.050125051610905
Alumno102,86.85004980057559,90.78764060397137,91.50334862823445
Alumno103,94.07687869364145,90.81657124847577,80.37881430091167
Alumno104,80.52689200026921,99.8739793835316,83.91535688864894
Alumno105,42.864086658520094,53.36658736406083,40.96600935686125
Alumno106,68.94800300353015,63.22889256377835,78.18405870326694
Alumno107,63.592126602424926,76.14461356358215,65.55572491684566
Alumno108,80.87841874130518,91.2808391813781,92.53760940781027
Alumno109,96.13950625471253,84.537274429816,82.76031341148779
Alumno110,99.14994424803739,97.82257829305065,85.66583636588852
Alumno111,54.85464319517033,53.950294047322316,43.68161699779698
Alumno112,61.37833594258854,69.66510735007984,74.32608992833268
Alumno113,49.568568866306975,51.796644998381765,48.45881194397799
Alumno114,68.75012222845086,60.57803168742838,79.342090440949
Alumno115,68.69175048646035,79.53014776818577,79.63034616413708
Alumno116,53.53463657263133,45.58889595049545,47.856847547628384
Alumno117,97.6554602010356,85.55542301773056,85.45878706573016
Alumno118,92.22114060244735,86.94302183222449,88.27894649523844
Alumno119,90.0370913954344,90.83774294941593,84.57376450374656
Alumno120,97.54801752858201,87.59300846941002,92.91191538497009
Alumno121,71.93819076564324,78.54579885708077,63.44867416263409
Alumno122,57.258218085261575,46.07511051408837,53.671948414530355
Alumno123,62.45442311128069,77.82807406405793,67.60366628357946
Alumno124,48.62309352786624,55.404574639149516,47.78183285462615
Alumno125,72.32136525992414,73.8499177289992,61.88426974943294
Alumno126,70.82848430896577,64.66226581370523,77.51430217433864
Alumno127,89.82003576597879,88.77106384383073,99.59191451444961
Alumno128,76.15158632691167,77.75540408380436,64.29697432770148
Alumno129,79.61598493880291,70.73002319919881,73.07386566690656
Alumno130,69.07075632714901,74.24643100633573,60.394258622257865
Alumno131,45.076447163195496,41.89369109190271,42.03409466968406
Alumno132,94.78082772554973,90.31590489434285,87.85492149052023
Alumno133,61.96274083219856,77.05457530347394,69.73660749244804
Alumno134,81.9148056145796,80.29174282850632,94.23026853878972
Alumno135,44.78859531611483,41.935322776156276,59.21414058948998
Alumno136,68.52913339225431,70.1388091236658,66.17192160796128
Alumno137,84.50746777646428,98.18066254905844,89.58417178733193
Alumno138,63.71006865986877,61.42966372235639,69.40650897853928
Alumno139,75.9062924165107,69.0175180103274,70.33709241484092
Alumno140,87.24463792705757,94.20854541069326,80.86018134283887
Alumno141,46.536373758086505,42.89759625834935,50.95833856909866
Alumno142,64.02534088287922,77.12717775088106,75.04280845899855
Alumno143,63.652036556322926,76.24082728408052,63.5802562105132
Alumno144,50.96552190861987,53.08418907833426,41.35507239464553
Alumno145,61.53559918160737,61.382367446152884,72.19341733604398
Alumno146,67.53989174175732,61.433170391583026,61.366127697571656
Alumno147,57.47118698399028,46.21961137268931,50.64204242609936
Alumno148,98.59250783221728,94.78847784197528,84.00814309383045
Alumno149,46.86687167899952,52.241315722015855,53.1316733722281
Alumno150,96.54997890357178,92.30667562360503,96.70536698293712
Alumno151,83.4787549352705,94.7121998703171,88.20708681587055
Alumno152,41.71824597818897,56.36705606747656,48.884469024892375
Alumno153,82.46021588594293,99.55054800211458,97.66090654497633
Alumno154,98.34522083436823,81.24323993311145,87.55553157024414
Alumno155,62.901091364274414,66.69430330943132,65.75188551770519
Alumno156,54.138046021960335,51.9845672021474,49.69183952122744
Alumno157,96.64261977882268,93.60671634781076,82.24647516694905
Alumno158,43.87170981612857,44.0649546726125,49.46817003445634
Alumno159,62.6962383545887,75.14549717937645,66.35841074254871
Alumno160,59.12651211386504,50.45691302825717,44.0651353355316
Alumno161,97.34498594965376,81.67356571427248,98.95615353026989
Alumno162,89.49640277976022,97.29498558710449,90.27594657052879
Alumno163,56.65643792163488,51.097237700760836,50.05325971056297
Alumno164,91.86102595379468,84.04245268799339,92.6467159939433
Alumno165,44.78060849126146,43.8005053952232,59.00127668400932
Alumno166,86.27282788948786,89.0124657934352,86.42464796842381
Alumno167,47.11654818368788,59.44522564719384,48.81652005998549
Alumno168,52.4276236261899,55.19148148722537,53.978713576735345
Alumno169,76.01767805287238,78.94918831800811,71.18898663850125
Alumno170,50.89103192547569,57.811430901906135,58.642864462046155
Alumno171,58.867089172524786,56.7838006399937,49.95363898092102
Alumno172,72.69477311821198,62.10626768710767,73.73179674869681
Alumno173,91.28811925000463,85.03046658339838,85.16092659141586
Alumno174,98.34817923768759,82.55494322784769,91.9048183325995
Alumno175,74.13342614374253,65.2529093500686,70.22200302378562
Alumno176,54.538928837620766,42.32282627989008,59.48576933055356
Alumno177,63.90460896286317,77.28489528835166,64.89513341742511
Alumno178,78.17963084617017,77.08075796304472,73.72164881941542
Alumno179,77.32420101254161,71.0513850849198,70.48229087339764
Alumno180,80.76414205912853,96.23347097210916,90.82892934410185
Alumno181,67.67465175132293,78.68932394232674,69.76308336166946
Alumno182,75.08458091285854,71.96970850413888,71.66378237261212
Alumno183,42.68789686513163,50.55612903487191,53.73731720342096
Alumno184,43.245272214913854,47.517353486523994,53.66595217206191
Alumno185,59.4500550363571,56.498654847853,50.64518899980332
Alumno186,44.192638544539015,42.206729390156156,51.44583858545218
Alumno187,50.46597322405265,45.867088515399985,47.34634479912093
Alumno188,81.11979706378736,82.72421074024538,97.4940952788903
Alumno189,98.6791744144267,84.98587527549388,83.51997638020707
Alumno190,56.41785173303934,45.07723682030849,55.704473319476506
Alumno191,59.26019248375469,58.3852910155533,55.611272089770694
Alumno192,90.76906760028524,90.4384050578411,84.08321853558411
Alumno193,70.33935661317015,61.90697937568754,67.8494551245982
Alumno194,83.14936902871112,95.1507996437826,97.79755187506657
Alumno195,93.2262159673758,81.65929154957409,80.70446434344191
Alumno196,64.8549197769282,76.80247649093937,73.70968699969957
Alumno197,70.79921660318793,67.27779008304907,63.084046278195075
Alumno198,81.39258833775283,98.83823765116196,96.1783795964548
Alumno199,76.50607826010237,61.914918614947624,65.7362650195779
Alumno200,44.155874559545346,59.59687773298118,51.66990497320187
Alumno201,82.42916633423185,95.22238563841016,93.49292864127521
Alumno202,99.92572759353249,90.42265662613273,80.95039604101005
Alumno203,40.93581811053723,42.194206913905994,54.123586544410685
Alumno204,54.08787552335731,48.18252022256021,53.998948313501046
Alumno205,70.16121474125926,76.00870812815697,70.30276116536639
Alumno206,52.5903308238843,51.06851102450397,57.604293009927105
Alumno207,66.17341823751744,68.55466706314705,62.959821388769384
Alumno208,90.15256859986808,99.25496431484734,86.84470992732578
Alumno209,49.72005379997614,48.473434294623075,40.659313610437046
Alumno210,93.837191105616,90.81403351856422,83.4312416912619
Alumno211,85.1148235822081,96.27981457678999,86.88680528923162
Alumno212,65.81993191526415,62.77977272942629,67.02521427309479
Alumno213,97.37321243335778,87.31275633914287,96.38399182795298
Alumno214,70.7119752534993,75.98512482659338,62.68351080266343
Alumno215,47.81368500201778,41.275706320002485,52.070764513870984
Alumno216,46.96827913945474,53.7064168689973,59.295864718393666
Alumno217,48.632268346371895,48.33119807056229,46.07608437473759
Alumno218,40.21964235557907,42.935624363564735,58.59554601022933
Alumno219,61.624239936691836,68.97399258491868,63.346229290542276
Alumno220,77.81722821592071,68.23947995626766,72.68804582817548
Alumno221,60.684302606132775,77.64236142010616,67.52960943940906
Alumno222,84.77358469715827,81.50417352801685,93.41268689328197
Alumno223,95.7347612062136,80.45316619234936,85.26824218960871
Alumno224,78.49990221455053,69.90753377770413,66.38032315199172
Alumno225,67.30573003350167,61.79386342270847,60.95446802408836
Alumno226,43.79532342821568,47.90046740026687,52.53234582560182
Alumno227,86.0400818012084,93.96560735777899,92.68211721178909
Alumno228,56.43665674225028,50.315202246116975,52.40139989195815
Alumno229,55.14681334081127,52.31441660582004,46.462433540009286
Alumno230,70.06224447288335,76.26241544829543,68.3039124125871
Alumno231,81.51521455373731,83.30198144151372,92.5015825977252
