Fecha,NO,NO,O3,PM10,PM25,SO2,Ln_PM10
01/01/2020,7,25,29,13,10,6,2.564949357
02/01/2020,1,2,54,4,2,5,1.386294361
03/01/2020,1,3,76,12,2,4,2.48490665
04/01/2020,1,3,56,4,2,4,1.386294361
05/01/2020,2,1,53,6,3,2,1.791759469
06/01/2020,2,4,93,9,5,3,2.197224577
13/01/2020,5,13,25,8,6,4,2.079441542
14/01/2020,1,4,71,7,7,6,1.945910149
15/01/2020,1,3,72,7,3,7,1.945910149
16/01/2020,1,4,68,7,4,5,1.945910149
17/01/2020,1,7,64,7,3,4,1.945910149
18/01/2020,1,6,62,5,3,5,1.609437912
19/01/2020,1,4,71,7,3,7,1.945910149
20/01/2020,1,8,67,12,8,1,2.48490665
21/01/2020,1,10,53,8,5,3,2.079441542
22/01/2020,4,13,49,13,4,9,2.564949357
23/01/2020,5,20,37,24,6,10,3.17805383
24/01/2020,3,19,33,21,7,5,3.044522438
25/01/2020,2,12,38,7,4,4,1.945910149
26/01/2020,1,7,54,8,4,5,2.079441542
27/01/2020,1,3,68,7,4,5,1.945910149
28/01/2020,1,4,63,4,2,7,1.386294361
29/01/2020,1,3,62,4,1,6,1.386294361
30/01/2020,1,2,66,6,2,4,1.791759469
31/01/2020,1,3,55,4,2,6,1.386294361
01/02/2020,8,23,38,13,9,5,2.564949357
02/02/2020,1,3,49,4,3,13,1.386294361
03/02/2020,1,4,80,3,2,4,1.098612289
04/02/2020,1,2,77,8,5,4,2.079441542
05/02/2020,2,2,37,4,3,5,1.386294361
06/02/2020,3,7,76,20,9,5,2.995732274
13/02/2020,1,6,48,7,4,4,1.945910149
14/02/2020,7,13,43,6,4,5,1.791759469
15/02/2020,3,9,46,9,5,4,2.197224577
16/02/2020,1,3,55,6,5,4,1.791759469
17/02/2020,1,4,59,5,3,4,1.609437912
18/02/2020,1,8,64,8,2,4,2.079441542
19/02/2020,4,21,48,7,4,4,1.945910149
20/02/2020,14,21,55,12,6,5,2.48490665
21/02/2020,12,23,55,13,9,4,2.564949357
22/02/2020,9,28,46,9,6,5,2.197224577
23/02/2020,8,25,51,10,5,5,2.302585093
24/02/2020,15,25,49,20,7,6,2.995732274
25/02/2020,1,6,67,9,5,4,2.197224577
26/02/2020,1,6,70,6,2,4,1.791759469
27/02/2020,1,5,63,45,12,5,3.80666249
28/02/2020,1,6,59,54,14,4,3.988984047
29/02/2020,1,3,69,50,14,4,3.912023005
01/03/2020,2,14,42,15,12,6,2.708050201
02/03/2020,7,10,34,18,7,10,2.890371758
03/03/2020,1,7,69,9,3,4,2.197224577
04/03/2020,1,9,88,11,8,4,2.397895273
05/03/2020,3,6,45,7,4,6,1.945910149
06/03/2020,3,5,57,17,10,5,2.833213344
13/03/2020,1,10,71,11,2,4,2.397895273
20/03/2020,4,1,46,25,12,2,3.218875825
22/03/2020,4,1,73,23,12,2,3.135494216
23/03/2020,4,1,70,21,11,2,3.044522438
26/03/2020,2,7,86,12,7,3,2.48490665
27/03/2020,1,10,90,15,12,1,2.708050201
28/03/2020,2,13,71,12,8,1,2.48490665
29/03/2020,1,4,87,15,10,2,2.708050201
30/03/2020,1,1,82,6,4,3,1.791759469
31/03/2020,1,2,61,4,4,3,1.386294361
01/04/2020,3,13,54,11,7,5,2.397895273
02/04/2020,9,12,41,12,4,3,2.48490665
03/04/2020,1,4,58,5,4,5,1.609437912
04/04/2020,2,7,73,7,4,4,1.945910149
05/04/2020,6,6,56,19,7,3,2.944438979
06/04/2020,6,5,72,9,6,6,2.197224577
13/04/2020,2,2,71,13,8,3,2.564949357
14/04/2020,3,5,65,10,6,2,2.302585093
15/04/2020,2,1,80,5,2,2,1.609437912
16/04/2020,2,1,74,5,2,3,1.609437912
17/04/2020,2,1,74,4,2,3,1.386294361
18/04/2020,2,1,72,5,2,3,1.609437912
19/04/2020,2,1,71,5,3,6,1.609437912
20/04/2020,4,9,58,6,4,6,1.791759469
21/04/2020,2,3,72,7,5,5,1.945910149
22/04/2020,2,2,78,8,6,3,2.079441542
23/04/2020,4,6,55,9,5,1,2.197224577
24/04/2020,4,7,46,8,7,3,2.079441542
25/04/2020,3,3,52,9,6,4,2.197224577
26/04/2020,2,2,62,8,6,4,2.079441542
27/04/2020,2,1,77,9,7,5,2.197224577
28/04/2020,2,1,73,6,5,5,1.791759469
29/04/2020,2,1,74,6,4,7,1.791759469
30/04/2020,2,1,79,6,3,5,1.791759469
01/05/2020,3,11,49,8,4,3,2.079441542
02/05/2020,4,16,66,11,4,4,2.397895273
03/05/2020,1,6,66,6,2,4,1.791759469
04/05/2020,1,1,79,6,4,3,1.791759469
05/05/2020,3,7,67,8,3,3,2.079441542
06/05/2020,4,6,62,7,5,7,1.945910149
13/05/2020,2,2,71,6,5,5,1.791759469
14/05/2020,2,2,61,9,7,4,2.197224577
15/05/2020,2,2,76,8,6,2,2.079441542
16/05/2020,2,3,95,14,10,2,2.63905733
17/05/2020,2,3,94,13,12,3,2.564949357
18/05/2020,2,4,93,12,7,3,2.48490665
19/05/2020,3,5,88,13,8,5,2.564949357
20/05/2020,3,8,82,12,7,4,2.48490665
21/05/2020,3,9,77,13,6,2,2.564949357
22/05/2020,4,9,72,16,8,3,2.772588722
23/05/2020,2,1,66,11,6,8,2.397895273
24/05/2020,2,1,71,12,7,7,2.48490665
25/05/2020,2,1,69,16,8,2,2.772588722
26/05/2020,2,2,86,13,7,1,2.564949357
27/05/2020,2,5,74,15,9,3,2.708050201
28/05/2020,3,8,66,17,9,5,2.833213344
29/05/2020,4,9,80,14,8,4,2.63905733
30/05/2020,3,7,76,16,9,5,2.772588722
31/05/2020,2,3,77,15,7,5,2.708050201
01/06/2020,5,9,20,5,3,2,1.609437912
02/06/2020,17,31,32,15,7,8,2.708050201
03/06/2020,1,7,77,5,2,5,1.609437912
04/06/2020,1,3,65,5,4,3,1.609437912
05/06/2020,7,12,57,8,5,3,2.079441542
06/06/2020,2,2,46,12,7,4,2.48490665
13/06/2020,2,1,77,6,4,6,1.791759469
14/06/2020,2,2,74,8,4,5,2.079441542
15/06/2020,2,3,59,7,4,5,1.945910149
16/06/2020,3,3,54,7,4,3,1.945910149
19/06/2020,2,5,73,10,7,3,2.302585093
20/06/2020,3,6,65,10,7,3,2.302585093
21/06/2020,3,5,59,10,6,5,2.302585093
22/06/2020,2,4,70,9,5,6,2.197224577
23/06/2020,4,10,77,15,6,5,2.708050201
24/06/2020,3,14,71,15,7,6,2.708050201
25/06/2020,3,7,57,18,8,7,2.890371758
26/06/2020,3,7,61,17,7,4,2.833213344
27/06/2020,2,5,45,8,4,5,2.079441542
28/06/2020,4,5,48,8,4,7,2.079441542
29/06/2020,2,3,52,9,5,5,2.197224577
30/06/2020,3,5,61,11,4,5,2.397895273
